e  | 000
l  | 0010
d  | 00110
j  | 001110000
M  | 001110001

  | 00111001
S  | 001110100
F  | 0011101010
E  | 0011101011
h  | 00111011
,  | 001111
n  | 0100
r  | 0101
v  | 011000
p  | 011001
o  | 01101
a  | 0111
s  | 1000
N  | 100100000
A  | 100100001
x  | 100100010
D  | 100100011
q  | 1001001
.  | 100101
m  | 10011
   | 101
t  | 1100
c  | 11010
V  | 110110000
I  | 110110001
P  | 110110010
;  | 110110011000
L  | 110110011001
Q  | 11011001101
C  | 1101100111
b  | 1101101
g  | 1101110
f  | 1101111
u  | 1110
i  | 1111
